id,device,timestamp,mAccuracy,mAltitude,mBearing,mElapsedRealtimeNanos,mExtras_networkLocationSource,mExtras_networkLocationType,mExtras_noGPSLocation_mAccuracy,mExtras_noGPSLocation_mAltitude,mExtras_noGPSLocation_mBearing,mExtras_noGPSLocation_mElapsedRealtimeNanos,mExtras_noGPSLocation_mExtras_coarseLocation_mAccuracy,mExtras_noGPSLocation_mExtras_coarseLocation_mAltitude,mExtras_noGPSLocation_mExtras_coarseLocation_mBearing,mExtras_noGPSLocation_mExtras_coarseLocation_mElapsedRealtimeNanos,mExtras_noGPSLocation_mExtras_coarseLocation_mHasAccuracy,mExtras_noGPSLocation_mExtras_coarseLocation_mHasAltitude,mExtras_noGPSLocation_mExtras_coarseLocation_mHasBearing,mExtras_noGPSLocation_mExtras_coarseLocation_mHasSpeed,mExtras_noGPSLocation_mExtras_coarseLocation_mLatitude,mExtras_noGPSLocation_mExtras_coarseLocation_mLongitude,mExtras_noGPSLocation_mExtras_coarseLocation_mProvider,mExtras_noGPSLocation_mExtras_coarseLocation_mSpeed,mExtras_noGPSLocation_mExtras_coarseLocation_mTime,mExtras_noGPSLocation_mHasAccuracy,mExtras_noGPSLocation_mHasAltitude,mExtras_noGPSLocation_mHasBearing,mExtras_noGPSLocation_mHasSpeed,mExtras_noGPSLocation_mLatitude,mExtras_noGPSLocation_mLongitude,mExtras_noGPSLocation_mProvider,mExtras_noGPSLocation_mSpeed,mExtras_noGPSLocation_mTime,mExtras_satellites,mExtras_travelState,mHasAccuracy,mHasAltitude,mHasBearing,mHasSpeed,mLatitude,mLongitude,mProvider,mSpeed,mTime,timestamp
fdc2305b-e3fd-4d44-b92e-1ade68b5d2fa-1,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1388057283.579,1007.0,0.0,0.0,20893432000000,cached,cell,1007.0,0.0,0.0,20893432000000,2000.0,0.0,0.0,20893432000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1388057282558,True,False,False,False,22.5896598,88.3946194,network,0.0,1388057282558,,moving,True,False,False,False,22.5896598,88.3946194,network,0.0,1388057282558,1388057283.579
fdc2305b-e3fd-4d44-b92e-1ade68b5d2fa-2,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1388057283.625,1007.0,0.0,0.0,20894477000000,cached,cell,1007.0,0.0,0.0,20894477000000,2000.0,0.0,0.0,20894477000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1388057283603,True,False,False,False,22.5896598,88.3946194,network,0.0,1388057283603,,moving,True,False,False,False,22.5896598,88.3946194,network,0.0,1388057283603,1388057283.625
fdc2305b-e3fd-4d44-b92e-1ade68b5d2fa-3,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1388057283.638,1007.0,0.0,0.0,20894477000000,cached,cell,1007.0,0.0,0.0,20894477000000,2000.0,0.0,0.0,20894477000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1388057283603,True,False,False,False,22.5896598,88.3946194,network,0.0,1388057283603,,moving,True,False,False,False,22.5896598,88.3946194,network,0.0,1388057283603,1388057283.638
fdc2305b-e3fd-4d44-b92e-1ade68b5d2fa-4,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1388057285.621,1007.0,0.0,0.0,20895437000000,cached,cell,1007.0,0.0,0.0,20895437000000,2000.0,0.0,0.0,20895437000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1388057284563,True,False,False,False,22.5896598,88.3946194,network,0.0,1388057284563,,moving,True,False,False,False,22.5896598,88.3946194,network,0.0,1388057284563,1388057285.621
fdc2305b-e3fd-4d44-b92e-1ade68b5d2fa-5,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1388057285.763,1007.0,0.0,0.0,20896585000000,cached,cell,1007.0,0.0,0.0,20896585000000,2000.0,0.0,0.0,20896585000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1388057285711,True,False,False,False,22.5896598,88.3946194,network,0.0,1388057285711,,moving,True,False,False,False,22.5896598,88.3946194,network,0.0,1388057285711,1388057285.763
fdc2305b-e3fd-4d44-b92e-1ade68b5d2fa-6,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1388057285.877,1007.0,0.0,0.0,20896585000000,cached,cell,1007.0,0.0,0.0,20896585000000,2000.0,0.0,0.0,20896585000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1388057285711,True,False,False,False,22.5896598,88.3946194,network,0.0,1388057285711,,moving,True,False,False,False,22.5896598,88.3946194,network,0.0,1388057285711,1388057285.877
fdc2305b-e3fd-4d44-b92e-1ade68b5d2fa-18,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1388057286.674,1007.0,0.0,0.0,20897465000000,cached,cell,1007.0,0.0,0.0,20897465000000,2000.0,0.0,0.0,20897465000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1388057286591,True,False,False,False,22.5896598,88.3946194,network,0.0,1388057286591,,moving,True,False,False,False,22.5896598,88.3946194,network,0.0,1388057286591,1388057286.674
fdc2305b-e3fd-4d44-b92e-1ade68b5d2fa-21,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1388057286.69,1007.0,0.0,0.0,20897465000000,cached,cell,1007.0,0.0,0.0,20897465000000,2000.0,0.0,0.0,20897465000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1388057286591,True,False,False,False,22.5896598,88.3946194,network,0.0,1388057286591,,moving,True,False,False,False,22.5896598,88.3946194,network,0.0,1388057286591,1388057286.69
fdc2305b-e3fd-4d44-b92e-1ade68b5d2fa-23,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1388057286.708,1007.0,0.0,0.0,20897465000000,cached,cell,1007.0,0.0,0.0,20897465000000,2000.0,0.0,0.0,20897465000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1388057286591,True,False,False,False,22.5896598,88.3946194,network,0.0,1388057286591,,moving,True,False,False,False,22.5896598,88.3946194,network,0.0,1388057286591,1388057286.708
fdc2305b-e3fd-4d44-b92e-1ade68b5d2fa-25,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1388057286.722,1007.0,0.0,0.0,20897548000000,cached,cell,1007.0,0.0,0.0,20897548000000,2000.0,0.0,0.0,20897548000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1388057286674,True,False,False,False,22.5896598,88.3946194,network,0.0,1388057286674,,moving,True,False,False,False,22.5896598,88.3946194,network,0.0,1388057286674,1388057286.722
